project,target,configuration,hash,code,status,start,end
data-api,build,,15912319208645560904,0,success,1722110250859,1722110252404
data-api,serve,development,14098373735722913970,1,failure,1722110250568,1722110252419
data-api,build,,15912319208645560904,0,local-cache-kept-existing,1722110301563,1722110301582
data-api,build,,15912319208645560904,0,local-cache-kept-existing,1722110320442,1722110320462
data-api,build,,6306754463283890098,0,success,1722110336035,1722110337455
data-api,build,,1165001289842447534,0,success,1722111756120,1722111757828
data-api,build,,12360035171679966415,0,success,1722111849656,1722111851064
data-api,build,,6418017874033508874,0,success,1722126922689,1722126924371
data-api,build,,13340512152340523116,0,success,1722130791199,1722130793157
data-api,build,,3079652684715143069,0,success,1722130911335,1722130912757
data-api,build,,9321961609824437210,0,success,1722523654481,1722523656254
data-api,build,,3148366186645892722,0,success,1722561119412,1722561121263
data-api,build,,3148366186645892722,0,local-cache-kept-existing,1722561171869,1722561171893
data-api,build,,3148366186645892722,0,local-cache-kept-existing,1722561191845,1722561191867
data-api,build,,8826022531463194386,0,success,1722561198762,1722561200678
data-api,build,,8826022531463194386,0,local-cache-kept-existing,1722561332231,1722561332254
data-api,build,,8826022531463194386,0,local-cache-kept-existing,1722561795479,1722561795502
data-api,build,,7452919519923147472,0,success,1722561852268,1722561853911
data-api,build,,15479446063529094262,0,success,1722562361766,1722562363512
data-api,build,,7452919519923147472,0,local-cache,1722562380564,1722562380587
data-api,build,,2822009003003549187,0,success,1722562461082,1722562462671
data-api,build,,10363943576889248227,0,success,1722562534682,1722562536262
data-api,build,,5465865824792288539,0,success,1722562546113,1722562547644
data-api,build,,12613540557003367158,0,success,1722563468776,1722563470495
data-api,build,,11072740968212591273,0,success,1722563474629,1722563476239
data-api,build,,1408251634916903333,0,success,1722563519879,1722563521410
data-api,build,,6542695177806985001,0,success,1722563636464,1722563638071
data-api,build,,17521534798442293650,0,success,1722563680668,1722563682181
data-api,build,,17521534798442293650,0,local-cache-kept-existing,1722563683601,1722563683623
data-api,build,,8985598899845863796,0,success,1722822206822,1722822208836
data-api,serve,development,2311139251834895410,1,failure,1722822206491,1722822208854
data-api,build,,8985598899845863796,0,local-cache,1722822372112,1722822372133
data-api,serve,development,2311139251834895410,1,failure,1722822371797,1722822372479
data-api,build,,8985598899845863796,0,local-cache-kept-existing,1722822490825,1722822490846
data-api,build,,3223573876144234740,0,success,1723396404325,1723396406264
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723396564736,1723396564856
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723396651513,1723396651537
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723396772487,1723396772511
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723398801211,1723398801246
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723398863406,1723398863429
data-api,build,,8593836488512182467,0,success,1723399673744,1723399675685
data-api,build,,6669322700935388901,0,success,1723399719579,1723399721165
data-api,build,,3223573876144234740,0,local-cache,1723399802511,1723399802534
data-api,build,,3223573876144234740,0,local-cache,1723400507466,1723400507490
data-api,build,,8651824439471939211,0,success,1723400569839,1723400571638
data-api,build,,3818344454216902628,0,success,1723400605933,1723400607486
data-api,build,,3223573876144234740,0,local-cache,1723400625047,1723400625072
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723400766174,1723400766194
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723400774955,1723400774975
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723400811866,1723400811887
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723400854313,1723400854334
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723400998727,1723400998748
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723401039297,1723401039317
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723401092053,1723401092073
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723401175834,1723401175854
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723401202516,1723401202536
data-api,build,,3223573876144234740,0,local-cache-kept-existing,1723401303631,1723401303654
data-api,build,,5070972492975980035,0,success,1723401346387,1723401348297
data-api,build,,5070972492975980035,0,local-cache-kept-existing,1723401384315,1723401384335
data-api,build,,5070972492975980035,0,local-cache-kept-existing,1723401412776,1723401412797
data-api,build,,5070972492975980035,0,local-cache-kept-existing,1723412296612,1723412296634
data-api,build,,12147480751778328547,0,success,1723413156689,1723413158488
data-api,build,,12147480751778328547,0,local-cache-kept-existing,1723417027580,1723417027604
data-api,build,,8935001469116664098,1,failure,1723417258302,1723417260164
data-api,build,,15585963431675219673,1,failure,1723417300249,1723417301643
data-api,build,,10811469564369676029,1,failure,1723417313697,1723417315123
data-api,build,,16902217210460811174,0,success,1723422302274,1723422304312
data-api,build,,16902217210460811174,0,local-cache-kept-existing,1723422491086,1723422491121
data-api,build,,11059969708132731627,1,failure,1723423260009,1723423261945
data-api,build,,11059969708132731627,1,failure,1723423276749,1723423278287
data-api,build,,11059969708132731627,1,failure,1723423298055,1723423299651
data-api,build,,8200551241270412582,0,success,1723423331365,1723423332934
data-api,build,,8200551241270412582,0,local-cache-kept-existing,1723423367768,1723423367788
data-api,build,,11059969708132731627,1,failure,1723424832181,1723424834218
data-api,build,,16902217210460811174,0,local-cache,1723424835526,1723424835549
data-api,build,,16902217210460811174,0,local-cache-kept-existing,1723424839922,1723424839943
